Date,Dist,Duration,Pace,Speed,Shorts,Shirt,Notes,Race,Temp,,,,,,
"Monday, July 21, 2014",6.28,37.7,6:00,10,,,,,,,,,,,
"Tuesday, July 22, 2014",4.77,31,6:30,9.23,,,,,,,,,,,
"Wednesday, July 23, 2014",,,,,,,,,,,,,,,
"Thursday, July 24, 2014",1.77,9.5,5:22,11.18,,,,,,,,,,,
"Friday, July 25, 2014",,,,,,,,,,,,,,,
"Saturday, July 26, 2014",8.09,51.75,6:24,9.38,Black,Quiksilver,,,,,,,,,
"Sunday, July 27, 2014",9.57,63,6:35,9.11,Blue,AE,,,,,,,,,
"Monday, July 28, 2014",,,,,,,,,,,,,,,
"Tuesday, July 29, 2014",,,,,,,,,,,,,,,
"Wednesday, July 30, 2014",6.28,36.5,5:49,10.32,Black,Eng,,,,,,,,,
"Thursday, July 31, 2014",,,,,,,,,,,,,,,
"Friday, August 1, 2014",,,,,,,,,,,,,,,
"Saturday, August 2, 2014",,,,,,,cottage,,,,,,,,
"Sunday, August 3, 2014",,,,,,,cottage,,,,,,,,
"Monday, August 4, 2014",6.28,35.8,5:42,10.53,Black,Quiksilver,,,,,,,,,
"Tuesday, August 5, 2014",,,,,,,,,,,,,,,
"Wednesday, August 6, 2014",6.28,36.75,5:51,10.25,Black,Billabong,,,,,,,,,
"Thursday, August 7, 2014",,,,,,,,,,,,,,,
"Friday, August 8, 2014",,,,,,,,,,,,,,,
"Saturday, August 9, 2014",9.57,60,6:16,9.57,Blue,Billabong,,,,,,,,,
"Sunday, August 10, 2014",,,,,,,"Headphones broke, time approx",,,,,,,,
"Monday, August 11, 2014",,,,,,,,,,,,,,,
"Tuesday, August 12, 2014",,,,,,,,,,,,,,,
"Wednesday, August 13, 2014",6.28,37.9,6:02,9.95,Black,Moulton,,,,,,,,,
"Thursday, August 14, 2014",,,,,,,,,,,,,,,
"Friday, August 15, 2014",,,,,,,,,,,,,,,
"Saturday, August 16, 2014",9.57,57.85,6:03,9.93,Black,Billabong,,,,,,,,,
"Sunday, August 17, 2014",10.04,62.1,6:11,9.7,Black,Eng,,,,,,,,,
"Monday, August 18, 2014",,,,,,,,,,,,,,,
"Tuesday, August 19, 2014",6.28,34.5,5:30,10.92,Black,Billabong,,,,,,,,,
"Wednesday, August 20, 2014",,,,,,,,,,,,,,,
"Thursday, August 21, 2014",6.28,36.2,5:46,10.42,Black,Eng,,,,,,,,,
"Friday, August 22, 2014",,,,,,,,,,,,,,,
"Saturday, August 23, 2014",10.04,61.5,6:08,9.8,Blue,Quiksilver,,,,,,,,,
"Sunday, August 24, 2014",10.04,61.9,6:10,9.73,Blue,Quiksilver,,,,,,,,,
"Monday, August 25, 2014",,,,,,,,,,,,,,,
"Tuesday, August 26, 2014",,,,,,,,,,,,,,,
"Wednesday, August 27, 2014",6.28,38,6:03,9.92,Black,AE,,,,,,,,,
"Thursday, August 28, 2014",6.28,34.2,5:27,11.02,Black,Shinerama,,,,,,,,,
"Friday, August 29, 2014",,,,,,,,,,,,,,,
"Saturday, August 30, 2014",,,,,,,,,,,,,,,
"Sunday, August 31, 2014",,,,,,,,,,,,,,,
"Monday, September 1, 2014",,,,,,,,,,,,,,,
"Tuesday, September 2, 2014",7.34,40.9,5:34,10.77,Black,Quiksilver,,,,,,,,,
"Wednesday, September 3, 2014",,,,,,,,,,,,,,,
"Thursday, September 4, 2014",6.28,35.2,5:36,10.7,Blue,Shinerama,,,,,,,,,
"Friday, September 5, 2014",,,,,,,,,,,,,,,
"Saturday, September 6, 2014",,,,,,,,,,,,,,,
"Sunday, September 7, 2014",7.24,41.5,5:44,10.47,Blue,Shinerama,,,,,,,,,
"Monday, September 8, 2014",,,,,,,,,,,,,,,
"Tuesday, September 9, 2014",1.76,7.9,4:29,13.37,Black,Quiksilver,,,,,,,,,
"Wednesday, September 10, 2014",,,,,,,,,,,,,,,
"Thursday, September 11, 2014",3.19,12.93,4:03,14.8,Blue,Lake Louise,,,,,,,,,
"Friday, September 12, 2014",,,,,,,,,,,,,,,
"Saturday, September 13, 2014",,,,,,,,,,,,,,,
"Sunday, September 14, 2014",6.28,34.8,5:32,10.83,Blue,Bounds of Music,,,,,,,,,
"Monday, September 15, 2014",,,,,,,,,,,,,,,
